iter	Logloss
0	0.5392909942
1	0.4776971743
2	0.4438915811
3	0.4275162517
4	0.4133089237
5	0.3983611092
6	0.3828957576
7	0.375255626
8	0.3674142894
9	0.3597308528
10	0.3512392902
11	0.3458610739
12	0.3428018907
13	0.337911721
14	0.3308890448
15	0.3262646606
16	0.3219048817
17	0.3193250882
18	0.3169159879
19	0.3161168523
20	0.3150396679
21	0.3136592133
22	0.3117847525
23	0.3025610851
24	0.3006698239
25	0.2998384122
26	0.2994128363
27	0.2979745218
28	0.2962021082
29	0.2896742629
30	0.28880649
31	0.2872054921
32	0.2867229545
33	0.2858935571
34	0.2798531887
