iter	Passed	Remaining
0	171	171492
1	184	92061
2	195	64886
3	205	51189
4	217	43334
5	228	37837
6	239	33928
7	249	30947
8	260	28717
9	271	26913
10	278	25052
11	287	23646
12	293	22286
13	300	21147
14	305	20075
15	311	19148
16	316	18287
17	320	17506
18	326	16853
19	331	16243
20	336	15708
21	342	15223
22	347	14780
23	352	14330
24	361	14093
25	367	13751
26	373	13457
27	380	13203
28	386	12928
29	390	12636
30	396	12397
31	401	12151
32	406	11921
33	412	11722
34	418	11537
35	425	11382
36	430	11202
37	436	11047
38	441	10883
39	446	10713
40	452	10573
41	457	10429
42	462	10290
43	467	10164
44	472	10033
45	478	9926
46	482	9778
47	488	9683
48	494	9590
49	499	9498
50	505	9412
51	511	9319
52	516	9221
53	522	9148
54	527	9061
55	532	8969
56	537	8892
57	542	8812
58	547	8732
59	552	8662
60	557	8587
61	562	8514
62	569	8466
63	576	8424
64	582	8383
65	588	8327
66	594	8278
67	600	8233
68	606	8181
69	611	8130
70	617	8081
71	623	8041
72	628	7984
73	632	7917
74	638	7872
75	643	7822
76	648	7774
77	653	7729
78	660	7696
79	665	7649
80	671	7617
81	676	7574
82	681	7524
83	686	7486
84	692	7453
85	698	7418
86	704	7389
87	710	7359
88	716	7336
89	722	7308
90	727	7266
91	731	7217
92	736	7184
93	740	7141
94	747	7116
95	752	7086
96	756	7043
97	761	7010
98	766	6979
99	773	6961
100	780	6948
101	786	6922
102	791	6895
103	796	6861
104	801	6835
105	807	6806
106	812	6777
107	817	6754
108	823	6730
109	829	6708
110	835	6688
111	838	6651
112	843	6622
113	849	6599
114	854	6573
115	859	6552
116	865	6530
117	871	6512
118	876	6490
119	882	6472
120	888	6456
121	894	6436
122	899	6416
123	905	6398
124	910	6372
125	915	6348
126	920	6330
127	926	6313
128	931	6292
129	937	6273
130	942	6253
131	947	6232
132	952	6211
133	957	6190
134	962	6166
135	968	6150
136	974	6136
137	979	6118
138	986	6107
139	991	6091
140	997	6078
141	1003	6063
142	1009	6047
143	1012	6019
144	1017	6002
145	1023	5988
146	1029	5972
147	1034	5958
148	1040	5944
149	1046	5931
150	1052	5917
